Owned	OpenLibrary edition URL	OL edition short URL	ePub URL	ePub short URL	Amazon Kindle URL 1	Amazon Kindle short URL
1	http://openlibrary.org/books/OL22865244M/The_Decameron_of_Giovanni_Boccaccio_(Il_Boccaccio)	http://bit.ly/1dDHq8l	https://archive.org/download/decameronofgiova01bocc/decameronofgiova01bocc.epub	http://bit.ly/1dDHsNt	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=decameronofgiova01bocc&docid=decameronofgiova01bocc	http://amzn.to/LxEyzS
1	http://openlibrary.org/books/OL23307240M/Jane_Eyre.	http://bit.ly/1dDHtAW	https://archive.org/download/janeeyrewithintr01bronuoft/janeeyrewithintr01bronuoft.epub	http://bit.ly/1dDHtkw	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=janeeyrewithintr01bronuoft&docid=janeeyrewithintr01bronuoft	http://amzn.to/LxEzng
1	http://openlibrary.org/books/OL14047536M/Villette_a_novel.	http://bit.ly/1dDHxAT	https://archive.org/download/villettenovel00bronuoft/villettenovel00bronuoft.epub	http://bit.ly/1dDHxk8	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=villettenovel00bronuoft&docid=villettenovel00bronuoft	http://amzn.to/LxEzE2
1	http://openlibrary.org/books/OL14049512M/Wuthering_Heights	http://bit.ly/1dDHyEQ	https://archive.org/download/wutheringheights00bron/wutheringheights00bron.epub	http://bit.ly/1dDHuVq	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=wutheringheights00bron&docid=wutheringheights00bron	http://amzn.to/LxEAaX
1	http://openlibrary.org/books/OL24817181M/Poems_of_Robert_Browning	http://bit.ly/1dDHzss	https://archive.org/download/poemsofrobertbro01brow/poemsofrobertbro01brow.epub	http://bit.ly/1dDHvsE	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=poemsofrobertbro01brow&docid=poemsofrobertbro01brow	http://amzn.to/LxEAI6
1	http://openlibrary.org/books/OL19356365M/The_pilgrim's_progress	http://bit.ly/1dDHDs9	https://archive.org/download/bunyanthepilgrim00buny/bunyanthepilgrim00buny.epub	http://bit.ly/1dDHCV7	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=bunyanthepilgrim00buny&docid=bunyanthepilgrim00buny	http://amzn.to/LxEEaG
1	http://openlibrary.org/books/OL13999359M/Alice's_adventures_in_Wonderland	http://bit.ly/1dDHJQp	https://archive.org/download/cesadventuresali00carrrich/cesadventuresali00carrrich.epub	http://bit.ly/1dDHIw0	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=cesadventuresali00carrrich&docid=cesadventuresali00carrrich	http://amzn.to/LxEIak
1	http://openlibrary.org/books/OL24992738M/The_history_of_the_ingenious_gentleman_Don_Quixote_of_La_Mancha	http://bit.ly/1dDHNjf	https://archive.org/download/historyofingeni04cerv/historyofingeni04cerv.epub	http://bit.ly/1dDHLb9	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=historyofingeni04cerv&docid=historyofingeni04cerv	http://amzn.to/LxEJem
1	http://openlibrary.org/books/OL13446300M/Letters_of_Anton_Chekhov_to_his_family_and_friends	http://bit.ly/1dDHS6z	https://archive.org/download/lettersofantonch00chek/lettersofantonch00chek.epub	http://bit.ly/1dDHS6n	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=lettersofantonch00chek&docid=lettersofantonch00chek	http://amzn.to/LxEKPD
1	http://openlibrary.org/books/OL17973839M/The_moonstone.	http://bit.ly/1dDHTqU	https://archive.org/download/moonstone00coll/moonstone00coll.epub	http://bit.ly/1dDHSTW	https://www.amazon.com/gp/digital/fiona/web-to-kindle?clientid=IA&itemid=moonstone00coll&docid=moonstone00coll	http://amzn.to/LxEL6f
